Sector,ESG_metric,Perf_metric,n,pearson_r,p_value,significant
Industrials,Environment Risk Score,cum_return,69440,0.2132358262112626,0.0,True
Industrials,Environment Risk Score,volatility,69440,0.08857280968779156,5.962465311222386e-121,True
Industrials,Governance Risk Score,daily_return,69440,0.005440448795213864,0.15167985838701148,False
Industrials,Governance Risk Score,cum_return,69440,0.36420155599125736,0.0,True
Industrials,Governance Risk Score,volatility,69440,0.11554991043744392,5.496045064969151e-205,True
Industrials,Social Risk Score,daily_return,69440,-0.002189754648453861,0.5639240159394441,False
Industrials,Social Risk Score,cum_return,69440,0.0017650758641395313,0.6418487925425183,False
Industrials,Social Risk Score,volatility,69440,0.12810581197577361,7.400298298833725e-252,True
Industrials,Controversy Score,daily_return,69440,0.0006754008491378178,0.8587427096775975,False
Industrials,Controversy Score,cum_return,69440,0.04923055313440999,1.5761637839260584e-38,True
Industrials,Controversy Score,volatility,69440,0.05119130579990496,1.6009343583138868e-41,True
Utilities,Total ESG Risk score,daily_return,34720,0.007313700023677119,0.17296034184451708,False
Utilities,Total ESG Risk score,cum_return,34720,0.2691541914626541,0.0,True
Utilities,Total ESG Risk score,volatility,34720,0.17177733808693124,3.926040985885268e-228,True
Utilities,Environment Risk Score,daily_return,34720,0.005888906868284942,0.27252429969178643,False
Utilities,Environment Risk Score,cum_return,34720,0.2601622300405367,0.0,True
Utilities,Environment Risk Score,volatility,34720,0.06790945819017499,8.901612941718502e-37,True
Utilities,Governance Risk Score,daily_return,34720,0.0014554175170037112,0.7862504847190598,False
Utilities,Governance Risk Score,cum_return,34720,0.04981471125987528,1.578684634010787e-20,True
Utilities,Governance Risk Score,volatility,34720,0.1246691885449783,2.767345798347238e-120,True
Utilities,Social Risk Score,daily_return,34720,0.003534841570550819,0.5101294737548706,False
Utilities,Social Risk Score,cum_return,34720,0.0838677370429722,3.1025969129322616e-55,True
Utilities,Social Risk Score,volatility,34720,0.1656130648500172,5.602958542099351e-212,True
Utilities,Controversy Score,daily_return,34720,0.002738278382580747,0.6099013287371532,False
Utilities,Controversy Score,cum_return,34720,0.04110760876393722,1.8210896014276608e-14,True
Utilities,Controversy Score,volatility,34720,0.11658735954925756,2.4417322246986302e-105,True
Basic Materials,Total ESG Risk score,daily_return,21080,0.016980090610374438,0.013687453520130387,True
Basic Materials,Total ESG Risk score,cum_return,21080,0.6539215552391702,0.0,True
Basic Materials,Total ESG Risk score,volatility,21080,0.3040956227411914,0.0,True
Basic Materials,Environment Risk Score,daily_return,21080,0.008217320280428552,0.23286221727100415,False
Basic Materials,Environment Risk Score,cum_return,21080,0.28733696768631395,0.0,True
Basic Materials,Environment Risk Score,volatility,21080,0.196228547286621,5.27759448016296e-182,True
Basic Materials,Governance Risk Score,daily_return,21080,0.008252993434679862,0.23084010089847593,False
Basic Materials,Governance Risk Score,cum_return,21080,0.3096506858216773,0.0,True
Basic Materials,Governance Risk Score,volatility,21080,0.12305151887757093,6.526159371750156e-72,True
Basic Materials,Social Risk Score,daily_return,21080,0.01558711955672349,0.02363015097961406,True
Basic Materials,Social Risk Score,cum_return,21080,0.6408690119206656,0.0,True
Basic Materials,Social Risk Score,volatility,21080,0.2677103635865655,0.0,True
Basic Materials,Controversy Score,daily_return,21080,0.000907244314783405,0.8952100426447416,False
Basic Materials,Controversy Score,cum_return,21080,0.00035297442193193973,0.9591301718102486,False
Basic Materials,Controversy Score,volatility,21080,0.15008567559584576,1.9186835843589853e-106,True
Real Estate,Total ESG Risk score,daily_return,34720,-0.001526132303441469,0.7761354355096726,False
Real Estate,Total ESG Risk score,cum_return,34720,-0.10495310903053023,1.2777607814444198e-85,True
Real Estate,Total ESG Risk score,volatility,34720,0.04936849153405566,3.44027225748522e-20,True
Real Estate,Environment Risk Score,daily_return,34720,-0.0007601592499351096,0.8873661858948634,False
Real Estate,Environment Risk Score,cum_return,34720,-0.013366934690976912,0.01274834295260914,True
Real Estate,Environment Risk Score,volatility,34720,-0.057204018656943675,1.4469467112457158e-26,True
Real Estate,Governance Risk Score,daily_return,34720,-0.002004463441754807,0.7087877415562454,False
Real Estate,Governance Risk Score,cum_return,34720,-0.10248100749725342,1.0586086777347385e-81,True
Real Estate,Governance Risk Score,volatility,34720,0.015293066220622858,0.004376495707330625,True
Real Estate,Social Risk Score,daily_return,34720,-0.0013666773114576457,0.7989949189338303,False
Real Estate,Social Risk Score,cum_return,34720,-0.13640842924783247,7.871175423479752e-144,True
Real Estate,Social Risk Score,volatility,34720,0.10417442688912357,2.243390689325136e-84,True
Real Estate,Controversy Score,daily_return,34720,0.005794913818602381,0.2802517090679647,False
Real Estate,Controversy Score,cum_return,34720,0.30904939102745255,0.0,True
Real Estate,Controversy Score,volatility,34720,-0.05477803299439707,1.7118254359424773e-24,True
Consumer Cyclical,Total ESG Risk score,daily_return,59520,0.004368314228178038,0.28655559647921586,False
Consumer Cyclical,Total ESG Risk score,cum_return,59520,0.08927501673913082,1.394137046540626e-105,True
Consumer Cyclical,Total ESG Risk score,volatility,59520,0.22218858664476437,0.0,True
Consumer Cyclical,Environment Risk Score,daily_return,59520,0.0007404172543368135,0.8566550523247278,False
Consumer Cyclical,Environment Risk Score,cum_return,59520,-0.08539980943846863,9.531418735847398e-97,True
Consumer Cyclical,Environment Risk Score,volatility,59520,0.10407262074687215,5.622148389568296e-143,True
Consumer Cyclical,Governance Risk Score,daily_return,59520,0.0017955942622684801,0.6613447634240024,False
Consumer Cyclical,Governance Risk Score,cum_return,59520,0.03691634628461327,2.07452266935326e-19,True
Consumer Cyclical,Governance Risk Score,volatility,59520,0.20643559494652158,0.0,True
Consumer Cyclical,Social Risk Score,daily_return,59520,0.005497857529728984,0.17982990680789307,False
Consumer Cyclical,Social Risk Score,cum_return,59520,0.20731509301076573,0.0,True
Consumer Cyclical,Social Risk Score,volatility,59520,0.14661386297287388,3.20357758930272e-283,True
Consumer Cyclical,Controversy Score,daily_return,59520,0.0022129241315193547,0.5892865151933743,False
Consumer Cyclical,Controversy Score,cum_return,59520,0.07072087043895195,7.27717283390522e-67,True
Consumer Cyclical,Controversy Score,volatility,59520,0.20688474672860058,0.0,True
Energy,Total ESG Risk score,daily_return,22320,0.0011667353391773935,0.8616303663511924,False
Energy,Total ESG Risk score,cum_return,22320,0.044669202611005834,2.447432504915509e-11,True
Energy,Total ESG Risk score,volatility,22320,0.19371642765251096,1.1956184718974178e-187,True
Energy,Environment Risk Score,daily_return,22320,0.0011519113028124594,0.8633710355056388,False
Energy,Environment Risk Score,cum_return,22320,-0.025532749308878708,0.00013619934913624456,True
Energy,Environment Risk Score,volatility,22320,0.20841089438405597,1.5874545182362292e-217,True
Energy,Governance Risk Score,daily_return,22320,-0.003948605857525089,0.5552669340253448,False
Energy,Governance Risk Score,cum_return,22320,-0.32003089419856795,0.0,True
Energy,Governance Risk Score,volatility,22320,0.16336247647866997,2.6434853475168415e-133,True
Energy,Social Risk Score,daily_return,22320,0.004536332992361298,0.49796940076112983,False
Energy,Social Risk Score,cum_return,22320,0.5020273151466674,0.0,True
Energy,Social Risk Score,volatility,22320,0.015155169839413486,0.023563825285397254,True
Energy,Controversy Score,daily_return,22320,-0.0025591289379036705,0.7022314429261346,False
Energy,Controversy Score,cum_return,22320,-0.01288147784684134,0.05429828666267673,False
Energy,Controversy Score,volatility,22320,-0.11737575491370962,2.659205603662952e-69,True
,Total ESG Risk score,daily_return,0,,,False
,Total ESG Risk score,cum_return,0,,,False
,Total ESG Risk score,volatility,0,,,False
,Environment Risk Score,daily_return,0,,,False
,Environment Risk Score,cum_return,0,,,False
,Environment Risk Score,volatility,0,,,False
,Governance Risk Score,daily_return,0,,,False
,Governance Risk Score,cum_return,0,,,False
,Governance Risk Score,volatility,0,,,False
,Social Risk Score,daily_return,0,,,False
,Social Risk Score,cum_return,0,,,False
,Social Risk Score,volatility,0,,,False
,Controversy Score,daily_return,0,,,False
,Controversy Score,cum_return,0,,,False
,Controversy Score,volatility,0,,,False
Communication Services,Total ESG Risk score,daily_return,16120,0.003997576796715558,0.611794737668803,False
Communication Services,Total ESG Risk score,cum_return,16120,0.20370202937401444,1.443965941151126e-150,True
Communication Services,Total ESG Risk score,volatility,16120,0.1278497435252809,1.0189340540860573e-59,True
Communication Services,Environment Risk Score,daily_return,16120,-0.009035465951488022,0.25133267767164913,False
